301|3|950000|0|-
302|3|860000|0|-
303|3|980000|0|-
304|3|960000|0|-
305|3|870000|0|-
306|3|1260000|1|Sea View
307|3|900000|0|-
308|3|910000|0|-
201|2|630000|0|-
202|2|830000|0|-
203|2|980000|0|Sea View
204|2|1090000|0|Sea View
205|2|720000|0|-
206|2|700000|0|-
207|2|910000|0|Sea View
208|2|1080000|0|Sea View
209|2|720000|0|-
210|2|800000|0|-
101|1|510000|0|-
102|1|480000|0|-
103|1|490000|0|-
104|1|590000|0|Sea View
105|1|620000|0|Sea View
106|1|470000|0|-
107|1|680000|0|Sea View
108|1|520000|0|-
109|1|680000|0|Sea View
110|1|560000|0|-
111|1|530000|0|-
112|1|470000|0|-
